__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778092886.549524,-5.617370063,-2.366200786,0.000000000,,,,,
1778092886.550418,-5.623404610,-2.331945171,0.000000000,,,,,
1778092886.550436,,,,1778092886.550374031,0.772875369,-0.367448902,-0.794833616,-0.242492171
1778092886.551511,-5.628645312,-2.302285988,0.000000000,,,,,
1778092886.551561,,,,1778092886.551432133,0.772493731,-0.373204733,-0.795083996,-0.244846479
1778092886.552526,-5.634414577,-2.269768940,0.000000000,,,,,
1778092886.552554,,,,1778092886.552397966,0.772117987,-0.378793785,-0.795329104,-0.247097974
1778092886.553484,-5.640000298,-2.238399701,0.000000000,,,,,
1778092886.553515,,,,1778092886.553382158,0.771739126,-0.384353189,-0.795574846,-0.249304387
1778092886.554409,-5.645542599,-2.207388003,0.000000000,,,,,
1778092886.554425,,,,1778092886.554325104,0.771366046,-0.389757170,-0.795815506,-0.251417325
1778092886.555579,-5.650915491,-2.177428976,0.000000000,,,,,
1778092886.555620,,,,1778092886.555412292,0.770945561,-0.395761104,-0.796085087,-0.253730780
1778092886.556511,-5.656879505,-2.144315683,0.000000000,,,,,
1778092886.556527,,,,1778092886.556356192,0.770562558,-0.401161925,-0.796329287,-0.255778034
1778092886.557601,-5.662224358,-2.114736491,0.000000000,,,,,
1778092886.557620,,,,1778092886.557474375,0.770118230,-0.407338325,-0.796610808,-0.258084805
1778092886.558437,-5.668334299,-2.081073616,0.000000000,,,,,
1778092886.558453,,,,1778092886.558355093,0.769735799,-0.412592298,-0.796851815,-0.260013750
1778092886.559552,-5.673508971,-2.052648948,0.000000000,,,,,
1778092886.559568,,,,1778092886.559341908,0.769318229,-0.418256491,-0.797113448,-0.262063029
1778092886.560459,-5.679081909,-2.022156528,0.000000000,,,,,
1778092886.560474,,,,1778092886.560366869,0.768888141,-0.424016886,-0.797381343,-0.264114138
1778092886.561440,-5.684739130,-1.991321116,0.000000000,,,,,
1778092886.561455,,,,1778092886.561353445,0.768463420,-0.429636586,-0.797644382,-0.266082677
1778092886.562437,-5.690245324,-1.961417075,0.000000000,,,,,
1778092886.562481,,,,1778092886.562350035,0.768040345,-0.435168694,-0.797904924,-0.267989584
1778092886.563685,-5.695654287,-1.932145878,0.000000000,,,,,
1778092886.563706,,,,1778092886.563474417,0.767560648,-0.441359090,-0.798198474,-0.270089562
1778092886.564489,-5.701704521,-1.899546179,0.000000000,,,,,
